timestamp,beni,chuquisaca,cochabamba,la_paz,oruro,potosi,santa_cruz,tarija,total
2026-06-06 00:00:00,14.67,31.09,158.14,167.14,58.62,142.17,356.2,33.41,961.4399999999999
2026-06-06 01:00:00,13.77,29.3,150.36,154.13,57.34,141.95,340.09,31.42,918.3599999999998
2026-06-06 02:00:00,13.35,28.5,144.85,147.42,56.35,141.08,330.6,30.22,892.3700000000001
2026-06-06 03:00:00,12.81,28.2,142.22,145.3,54.68,140.7,326.66,29.95,880.52
2026-06-06 04:00:00,12.7,28.75,147.03,147.57,55.45,141.23,324.0,30.49,887.22
2026-06-06 05:00:00,12.11,29.94,158.11,157.38,58.72,141.81,333.63,32.38,924.0799999999999
2026-06-06 06:00:00,11.53,29.22,158.52,163.36,57.99,137.77,322.21,29.91,910.5099999999999
2026-06-06 07:00:00,13.37,31.82,170.26,191.48,61.62,137.55,354.44,33.53,994.0699999999999
2026-06-06 08:00:00,15.2,34.25,187.21,215.63,64.71,140.78,394.8,36.86,1089.4399999999998
2026-06-06 09:00:00,16.38,35.07,194.66,229.33,66.14,143.67,414.62,37.92,1137.79
2026-06-06 10:00:00,17.38,34.99,197.11,236.33,65.69,142.01,423.33,38.37,1155.2099999999998
2026-06-06 11:00:00,17.79,34.21,195.76,236.92,63.53,141.91,424.02,37.95,1152.09
2026-06-06 12:00:00,17.52,33.71,189.73,228.84,60.01,139.75,411.87,36.47,1117.8999999999999
2026-06-06 13:00:00,17.97,33.75,188.39,225.13,61.21,141.49,410.77,36.25,1114.96
2026-06-06 14:00:00,18.46,34.19,189.29,225.06,62.79,141.12,412.49,36.34,1119.74
2026-06-06 15:00:00,18.83,34.82,189.23,226.66,62.47,139.59,415.31,37.95,1124.8600000000001
2026-06-06 16:00:00,18.54,35.42,188.59,226.44,62.81,143.33,411.36,38.81,1125.3
2026-06-06 17:00:00,19.63,41.19,203.04,238.36,68.91,149.81,451.5,47.09,1219.53
2026-06-06 18:00:00,23.01,45.87,237.86,287.31,76.16,158.23,466.62,51.83,1346.8899999999999
2026-06-06 19:00:00,22.36,44.82,234.58,282.66,73.61,158.2,457.76,51.27,1325.26
2026-06-06 20:00:00,21.3,42.58,224.38,269.4,69.84,156.32,442.53,48.67,1275.02
2026-06-06 21:00:00,19.75,38.95,206.26,245.33,65.63,153.04,420.32,45.39,1194.67
2026-06-06 22:00:00,17.47,34.81,184.44,213.05,60.71,147.08,390.27,40.79,1088.62
2026-06-06 23:00:00,15.69,31.14,166.08,184.08,57.82,141.29,362.38,36.01,994.49
