plant_code,generation_type,observed_max_mw,is_aggregate_pseudo_plant,capacity_mw,cost_usd_mwh,is_renewable
AGG_EOL,EOL,36.52,True,40.172000000000004,5.0,True
AGG_SOL,SOL,130.72,True,143.792,5.0,True
AGU01,BIO,0.0,False,0.01,12.0,True
AGU02,BIO,0.0,False,0.01,12.0,True
GBE01,BIO,7.37,False,8.107000000000001,12.0,True
IAG01,BIO,0.0,False,0.01,12.0,True
UNA01,BIO,0.0,False,0.01,12.0,True
CH ANG,HID,2.97,False,3.2670000000000003,18.0,True
CH BOT,HID,2.26,False,2.4859999999999998,18.0,True
CH CAH,HID,18.53,False,20.383000000000003,18.0,True
CH CHJ2,HID,21.2,False,23.32,18.0,True
CH CHO,HID,3.56,False,3.9160000000000004,18.0,True
CH CHU,HID,24.52,False,26.972,18.0,True
CH COR,HID,64.67,False,71.13700000000001,18.0,True
CH CRB,HID,3.83,False,4.213,18.0,True
CH CUT,HID,11.16,False,12.276000000000002,18.0,True
CH HAR,HID,0.0,False,0.01,18.0,True
CH HUA,HID,16.55,False,18.205000000000002,18.0,True
CH KAN,HID,7.14,False,7.854,18.0,True
CH KIL,HID,0.0,False,0.01,18.0,True
CH LAN,HID,0.0,False,0.01,18.0,True
CH MIG,HID,2.41,False,2.6510000000000002,18.0,True
CH MIS,HID,108.0,False,118.80000000000001,18.0,True
CH PUN,HID,0.0,False,0.01,18.0,True
CH SAI,HID,8.57,False,9.427000000000001,18.0,True
CH SIS,HID,90.68,False,99.74800000000002,18.0,True
CH SJA,HID,6.9,False,7.590000000000001,18.0,True
CH SJE,HID,60.56,False,66.61600000000001,18.0,True
CH SJS,HID,50.21,False,55.23100000000001,18.0,True
CH SRO AC,HID,8.08,False,8.888000000000002,18.0,True
CH SRO BA,HID,3.36,False,3.696,18.0,True
CH TIQ,HID,7.01,False,7.711,18.0,True
CH YAN,HID,27.8,False,30.580000000000002,18.0,True
CH ZON,HID,6.0,False,6.6000000000000005,18.0,True
CE EDO,INT,28.13,False,30.943,35.0,False
CE QOL,INT,11.56,False,12.716000000000001,35.0,False
CE SJU,INT,5.76,False,6.336,35.0,False
CE WAR,INT,4.58,False,5.038,35.0,False
CSF ORU,INT,76.73,False,84.403,35.0,False
CSF UYU,INT,56.5,False,62.150000000000006,35.0,False
CSF YUN,INT,0.0,False,0.01,35.0,False
ALT01,TER,0.0,False,0.01,55.0,False
ALT02,TER,0.0,False,0.01,55.0,False
ARJ01,TER,0.0,False,0.01,55.0,False
ARJ02,TER,0.0,False,0.01,55.0,False
ARJ03,TER,0.0,False,0.01,55.0,False
ARJ08,TER,17.49,False,19.239,55.0,False
ARJ09,TER,0.0,False,0.01,55.0,False
ARJ11,TER,0.0,False,0.01,55.0,False
ARJ12,TER,0.0,False,0.01,55.0,False
ARJ13,TER,0.0,False,0.01,55.0,False
ARJ14,TER,0.0,False,0.01,55.0,False
ARJ15,TER,0.0,False,0.01,55.0,False
BUL01,TER,0.0,False,0.01,55.0,False
BUL02,TER,0.0,False,0.01,55.0,False
BUL03,TER,0.0,False,0.01,55.0,False
CAR01,TER,0.0,False,0.01,55.0,False
CAR02,TER,0.0,False,0.01,55.0,False
CAR03,TER,0.0,False,0.01,55.0,False
ERI01,TER,0.0,False,0.01,55.0,False
ERI02,TER,0.0,False,0.01,55.0,False
ERI03,TER,0.0,False,0.01,55.0,False
ERI04,TER,0.0,False,0.01,55.0,False
ERI30,TER,36.87,False,40.557,55.0,False
