plant_code,generation_type,optimized_dispatch_mw,cost_usd_mwh,is_renewable,unserved_mw,timestamp,demand_mw,actual_dispatch_mw,optimized_cost_proxy_usd,actual_cost_proxy_usd,optimized_renewable_mwh,actual_renewable_mwh,optimized_total_mwh,actual_total_mwh
AGG_EOL,EOL,10.43,5.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,10.43,13.0375,13.0375,2.6075,2.6075,2.6075,2.6075
AGG_SOL,SOL,0.0,5.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGU01,BIO,0.01,12.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,0.0,0.03,0.0,0.0025,0.0,0.0025,0.0
AGU02,BIO,0.01,12.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,0.0,0.03,0.0,0.0025,0.0,0.0025,0.0
GBE01,BIO,8.107000000000001,12.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,5.74,24.321000000000005,17.22,2.0267500000000003,1.435,2.0267500000000003,1.435
IAG01,BIO,0.01,12.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,0.0,0.03,0.0,0.0025,0.0,0.0025,0.0
UNA01,BIO,0.01,12.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,0.0,0.03,0.0,0.0025,0.0,0.0025,0.0
CH ANG,HID,3.2670000000000003,18.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,2.88,14.701500000000001,12.959999999999999,0.8167500000000001,0.72,0.8167500000000001,0.72
CH BOT,HID,2.4859999999999998,18.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,1.79,11.187,8.055,0.6214999999999999,0.4475,0.6214999999999999,0.4475
CH CAH,HID,20.383000000000003,18.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,10.97,91.72350000000002,49.365,5.095750000000001,2.7425,5.095750000000001,2.7425
CH CHJ2,HID,23.32,18.0,True,0.0,2026-06-06 00:00:00,1076.5700000000002,0.0,104.94,0.0,5.83,0.0,5.83,0.0
