title,description,value,timestamp,code
Taquesi,HID,89.19,2026-06-07 12:48:19,2
San Jacinto,HID,7.6,2026-06-07 12:48:19,2
Quehata,HID,1.97,2026-06-07 12:48:19,2
Misicuni,HID,120.0,2026-06-07 12:48:19,2
Miguillas,HID,21.11,2026-06-07 12:48:19,2
Kanata,HID,7.54,2026-06-07 12:48:19,2
Corani,HID,280.36,2026-06-07 12:48:19,2
Zongo,HID,188.04,2026-06-07 12:48:19,2
Guaracachi,TER,345.95,2026-06-07 12:48:19,2
Entre Rios,TER,526.77,2026-06-07 12:48:19,2
El Alto,TER,49.95,2026-06-07 12:48:19,2
Del Sur,TER,505.83,2026-06-07 12:48:19,2
Carrasco,TER,133.36,2026-06-07 12:48:19,2
Bulo Bulo,TER,92.79,2026-06-07 12:48:19,2
Aranjuez,TER,35.19,2026-06-07 12:48:19,2
Moxos,TER,5.7,2026-06-07 12:48:19,2
Warnes,TER,570.57,2026-06-07 12:48:19,2
Valle Hermoso,TER,79.45,2026-06-07 12:48:19,2
Santa Cruz,TER,41.95,2026-06-07 12:48:19,2
Guabirá ,BIO,21.0,2026-06-07 12:48:19,2
Aguaí ,BIO,4.0,2026-06-07 12:48:19,2
Unagro,BIO,35.0,2026-06-07 12:48:19,2
IAGSA,BIO,5.0,2026-06-07 12:48:19,2
Aguaí 02,BIO,55.0,2026-06-07 12:48:19,2
San Buenaventura ,BIO,5.0,2026-06-07 12:48:19,2
Warnes 1,EOL,14.4,2026-06-07 12:48:19,2
Qollpana,EOL,27.0,2026-06-07 12:48:19,2
San Julian,EOL,39.6,2026-06-07 12:48:19,2
El Dorado,EOL,54.0,2026-06-07 12:48:19,2
Uyuni,SOL,62.56,2026-06-07 12:48:19,2
Yunchará,SOL,5.0,2026-06-07 12:48:19,2
Oruro,SOL,100.02,2026-06-07 12:48:19,2
